QUEST_20150317_000001	กรุณาเลือกผู้ใช้ที่ต้องรับการอัพเดทเควส
QUEST_20150317_000002	Statue of Goddess Vakarine
QUEST_20150317_000003	กรุณาเลือกพื้นที่
QUEST_20150317_000004	เลือก
QUEST_20150317_000005	กรุณาเลือกไอเทม
QUEST_20150317_000006	กรุณาเลือกกลุ่ม
QUEST_20150317_000007	กรุณาเลือกกลุ่ม cheat start
QUEST_20150317_000008	กรุณาเลือกโซน
QUEST_20150317_000009	กรุณาเลือกโซนเริ่มต้น
QUEST_20150317_000010	กรุณาเลือกอาชีพขั้นต่อไป
QUEST_20150317_000011	กรุณาเลือกอาชีพที่ต้องการ
QUEST_20150317_000012	Bokor Master
QUEST_20150317_000013	ข้าเข้าใจแล้วว่าเจ้าอยากจะรู้เพิ่มเติมเกี่ยวกับแผ่นหินนี้{nl}หากเจ้าต้องการ ข้าจะแสดงให้เจ้าเห็นถึงความประสงค์ของผู้ที่สร้างมันขึ้นมา
QUEST_20150317_000014	Goddess Laima
QUEST_20150317_000015	กว่าที่ท่านจะได้รับข้อความนี้ เวลาก็ได้ผ่านมาเนิ่นนานแล้ว{nl}ข้าคือเทพธิดาแห่งโชคชะตาและปัญญา  Laima คือนามของข้า{nl}
QUEST_20150317_000016	600 ปีก่อน ข้าได้มองเห็นนิมิตอันเลวร้าย เป็นช่วงเวลาแห่งความตายและทุกข์เข็ญ{nl}หากท่านเองก็มองเห็นมันเช่นกัน{memo not sure what the 'If you're seeing this,' is refering to} ข้าเกรงว่าช่วงเวลานั้นได้มาถึงแล้ว{nl}
QUEST_20150317_000017	พวกปีศาจได้เริ่มต้นการกำเนิดของมหาภัยพิบัติ และหลังจากนั้นเหล่าเทพธิดาทุกองค์ก็หายสาบสูญ{nl}ข้ารู้ดีว่ามันจะเกิดขึ้นและได้ทำทุกวิถีทางเพื่อที่จะหยุดยั้งมัน แต่ด้วยพลังที่ข้ามีนั้นไม่มากพอจะฝืนโชคชะตา{nl}
QUEST_20150317_000018	ข้าเดินทางรอนแรมผ่านความฝันและนิมิตมากมายเพื่อค้นหาหนทางแก้ไขวิกฤต{nl}และสิ่งที่ข้าเห็นที่ปลายสุดของนิมิตเหล่านั้นคือท่าน… ผู้กอบกู้{memo not sure if the word 'Savior' should be translated or not}{nl}
QUEST_20150317_000019	แต่โชคไม่เข้าข้าง ข้าไม่สามารถอยู่ที่ใดเป็นหลักแหล่งได้ในขณะที่พวกปีศาจยังออกตามล่าข้าอยู่ ด้วยพวกมันล่วงรู้ถึงอำนาจแห่งการพยากรณ์ของข้า{nl}ข้าถูกบังคับให้ต้องหลบซ่อน จนกว่าจะถึงเวลาที่ท่านปรากฏตัว{nl}
